mz,rt,cpd,pathways,main_super_pathway,main_super_pathway_categorized,n_matches,min_p_value,mode
100.013977971641,188.613115350996,C00072; C02670; glac,Tyrosine metabolism,"Amino acid metabolism, Lipid metabolism, Metabolism of cofactors and vitamins, Nucleotide metabolism",Other Combination of pathways,3,0.0253742602358845,negative
100.075740157339,31.7188017810714,C00183; C00431; C00719,"Glycine, serine, alanine and threonine metabolism","Amino acid metabolism, Carbohydrate metabolism",Other Combination of pathways,3,0.0332723065790187,negative
101.03465666409,181.575011703928,C00581; gudac,"Glycine, serine, alanine and threonine metabolism; Urea cycle/amino group metabolism",Amino acid metabolism,Amino acid metabolism,2,0.013519055537942,negative
102.0198507,12.19070574,C01179; C01179; C01197; C01197; C05350; C05350,Tyrosine metabolism,"Amino acid metabolism, Metabolism of cofactors and vitamins",Other Combination of pathways,6,0.0274719409718521,negative
102.03395978735,127.38640995026,C05579,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0810146423660106,negative
102.055072540213,74.1441432745719,C00940,Alanine and Aspartate Metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0718171826836857,negative
103.038843868631,251.454959502134,C00026; C00109; C00164; C00232; C00349; C01087; C02266; C02630; C03196; C06002; C06144,"Methionine and cysteine metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Tryptophan metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Histidine metabolism; Tyrosine metabolism; Aspartate and asparagine metabolism","Amino acid metabolism, Carbohydrate metabolism",Other Combination of pathways,11,0.1820664916081,negative
103.054370650416,39.0360156819634,C00601,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0122317999168714,negative
104.070732131361,55.2920177829494,C00334; C01026; C01205; C02356; C03284; C05145,"Glycine, serine, alanine and threonine metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism","Amino acid metabolism, Carbohydrate metabolism, Nucleotide metabolism",Other Combination of pathways,6,0.0515273623333863,negative
105.069971784925,271.85003578226,C02846; C02846; C05332; C05332,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,4,0.0221716902423295,negative
106.086339264997,38.909618948586,C00555; C00555,Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.00527905041263257,negative
107.070394721441,273.393886078089,C00121; C00181; C00246; C00259; C00309; C00310; C00312,Chondroitin sulfate degradation,"Glycan biosynthesis and metabolism, Nucleotide metabolism, NA",Other Combination of pathways,7,0.0135227054632411,negative
108.044516358973,275.27282793671,C00632; C05827,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0445542191932081,negative
108.080899467297,200.55621837324,C09642,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0335033355548898,negative
110.071389100622,77.9502705815515,C01035,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,3.65495047923302e-4,negative
111.044122735278,37.1745498036064,C05582; C05583,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0427404915884603,negative
111.055436592147,203.187720331899,C00064; C00819; C05100,Arginine and Proline Metabolism; Alanine and Aspartate Metabolism; Tyrosine metabolism; Aspartate and asparagine metabolism,"Amino acid metabolism, Metabolism of cofactors and vitamins, Nucleotide metabolism",Other Combination of pathways,3,0.00163856821957868,negative
111.080544364957,182.467493596982,17ahprgstrn; C01176; C03205; C03748; C05498; CE1353; CE5888,C21-steroid hormone biosynthesis and metabolism,Lipid metabolism,Lipid metabolism,7,0.0786728679055179,negative
111.09179183334,185.384992728153,C00047,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,6.27642193083189e-4,negative
111.116939634629,182.622331400704,CE2006; CE2577; CE6506,Linoleate metabolism,Lipid metabolism,Lipid metabolism,3,0.013322249526284,negative
112.039433690647,272.50235333631,C01879; C04281; C04282,Arginine and Proline Metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,3,0.0540301312224825,negative
112.050660698022,175.8382265558,C00380; C05522,Methionine and cysteine metabolism,"Amino acid metabolism, Nucleotide metabolism","Amino acid metabolism, Nucleotide metabolism",2,0.050840784854558,negative
112.075815367925,270.667051685975,CE2566; CE2566; CE2567; CE2567; CE4876; CE4876; CE4990; CE4990; CE5178; CE5178; CE5304; CE5304; CE5349; CE5349; CE5721; CE5721; CE6508; CE6508; CE7080; CE7080; CE7083; CE7083; CE7084; CE7084; CE7091; CE7091; CE7097; CE7097,Prostaglandin formation from arachidonate; Arachidonic acid metabolism; Leukotriene metabolism,Lipid metabolism,Lipid metabolism,28,0.0972856722626667,negative
112.087054027085,72.6915682749822,C00388; C02679; C04518; C05138; C05485; C18038,Histidine metabolism,Amino acid metabolism,Amino acid metabolism,6,7.85700257847242e-4,negative
112.9995288,27.97819032,C00227; C00227,Glycolysis and Gluconeogenesis,Carbohydrate metabolism,Carbohydrate metabolism,2,0.059786850923685,negative
113.059805574765,179.917939432873,CE6185,Leukotriene metabolism,Lipid metabolism,Lipid metabolism,1,0.0878426538787478,negative
114.055072928206,270.469051531724,C02220,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0302943281873294,negative
114.066269928837,32.6780513976176,C00300,"Glycine, serine, alanine and threonine metabolism; Urea cycle/amino group metabolism",Amino acid metabolism,Amino acid metabolism,1,0.00328372931558806,negative
114.091261553539,30.485859839231,C02714; C02714,Arginine and Proline Metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.020535533820805,negative
115.06322842815,31.0480492829323,C00148; C00763; CE4788,Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,3,0.00172008506239967,negative
115.069571892593,31.3298757874991,C00791; C16561,Urea cycle/amino group metabolism,Amino acid metabolism,Amino acid metabolism,2,0.00324785564646951,negative
117.102343126234,202.775607677812,C11695; C11695; C11695,Prostaglandin formation from arachidonate,Lipid metabolism,Lipid metabolism,3,0.0244784225125409,negative
119.035138,26.15581369,C00147; C00262,Purine metabolism,Nucleotide metabolism,Nucleotide metabolism,2,0.0410193742878125,negative
119.049142287811,47.9610304093113,C00166; C00811; C02505; C02763; C03765; C05838; C05851; C07086,Tyrosine metabolism,"Amino acid metabolism, Carbohydrate metabolism",Other Combination of pathways,8,0.00620834628145432,negative
119.085481046417,22.0857337478823,CE4989; CE5828; CE5924; CE5929; CE5931; CE6234,Prostaglandin formation from arachidonate; Leukotriene metabolism,"Lipid metabolism, NA","Lipid metabolism, NA",6,0.0365259848895971,negative
120.065592968572,63.5501002766406,C00025; C00188; C00217; C05519; C05938,"Methionine and cysteine metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Tryptophan metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Histidine metabolism; Tyrosine metabolism; Aspartate and asparagine metabolism","Amino acid metabolism, Carbohydrate metabolism, Lipid metabolism, Metabolism of cofactors and vitamins, Nucleotide metabolism",Other Combination of pathways,5,0.0509745486061722,negative
120.08084229051,40.74128329834,C00483; C01183; C02735; CE6205,Urea cycle/amino group metabolism; Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,4,0.0237722251095204,negative
122.059768389129,117.683134011507,C05578; C05653; CE4888; CE5538,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,4,0.0437402853787697,negative
122.096463776845,201.598976316269,C05587; C05587; C07453; C07453,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,4,0.0526007166200488,negative
123.030438576099,178.845423831029,C01551,Purine metabolism,Nucleotide metabolism,Nucleotide metabolism,1,0.05158554004968,negative
123.04409629839,237.854249788857,C00544; C01161; C05577,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,3,0.0110160775264759,negative
123.116859775641,219.849162925966,C01601; C01601,Linoleate metabolism,Lipid metabolism,Lipid metabolism,2,0.0524163987441873,negative
124.0154905,288.5559531,C00346,Glycerophospholipid metabolism,Lipid metabolism,Lipid metabolism,1,0.0586551629662367,negative
124.075775872761,191.701113851793,C00314; C00314; C00547; C00547; C03087; C03087; C16586; C16586; CE2173; CE2173,Urea cycle/amino group metabolism; Tyrosine metabolism,"Amino acid metabolism, NA",Other Combination of pathways,10,0.00570580417340676,negative
125.0245264,24.09659637,C03557; C03557,Glycerophospholipid metabolism,Lipid metabolism,Lipid metabolism,2,0.00151860221196842,negative
125.059798861969,275.503340298631,C05576; C05576,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0224861792946774,negative
125.10738421412,179.998254160731,C00534,Vitamin B6 (pyridoxine) metabolism,NA,NA,1,0.0251583165348915,negative
126.09140440619,208.268424758344,C05588; C16560,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0124502885174256,negative
127.038988397349,112.113919592929,C05584,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.260032367145205,negative
127.05027380537,261.182919786149,C00178; C01736; C02835; C05512; C15586,Histidine metabolism,"Amino acid metabolism, Nucleotide metabolism","Amino acid metabolism, Nucleotide metabolism",5,0.0255079794237435,negative
127.075378899985,150.269730813628,CE1342; CE1342,C21-steroid hormone biosynthesis and metabolism,Lipid metabolism,Lipid metabolism,2,0.220361765286467,negative
127.111764144792,176.410668505478,C06423; C06423; C06423; CE2576; CE2576; CE2576,Fatty acid activation,Lipid metabolism,Lipid metabolism,6,0.0144085621593915,negative
129.054685489537,276.903019435274,C01019; C01019; C02946; C02946; C03239; C03239; C04076; C04076; C06006; C06006,Fructose and mannose metabolism,"Carbohydrate metabolism, Glycan biosynthesis and metabolism, NA",Other Combination of pathways,10,0.00111098411591219,negative
129.065978305958,58.0023069703968,C04441,Urea cycle/amino group metabolism,Amino acid metabolism,Amino acid metabolism,1,0.166974584091956,negative
130.049936535741,65.3429357547741,C02238; CE1554,Arginine and Proline Metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.106189555774413,negative
130.086316037189,65.5092854002144,C00408; C00408; C01250; C01250; C05936; C05936,Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,6,0.00694220372542297,negative
130.122708277648,185.451583151827,CE1939; CE1940,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0156376490754466,negative
130.966452018313,274.145175738229,C14857; C14858; C14859,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,3,0.0758612535630463,negative
132.0304413,21.31661853,C01096,Hexose phosphorylation,Carbohydrate metabolism,Carbohydrate metabolism,1,0.049560064301716,negative
132.06555571627,82.7832885321865,C01042; C01045; C03912,Alanine and Aspartate Metabolism,"Amino acid metabolism, Metabolism of cofactors and vitamins","Amino acid metabolism, Metabolism of cofactors and vitamins",3,0.0212630338532377,negative
132.090532136304,78.3368408846785,C00077; C00515; C01602; C03943,"Glycine, serine, alanine and threonine metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism",Amino acid metabolism,Amino acid metabolism,4,0.0554496180868049,negative
134.0362165,286.0442191,CE5277,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0112202563239285,negative
134.063699667926,72.2168385233384,C00152; C02642,Alanine and Aspartate Metabolism; Aspartate and asparagine metabolism,"Amino acid metabolism, Nucleotide metabolism","Amino acid metabolism, Nucleotide metabolism",2,0.066638893933419,negative
136.051882,279.4677821,CE5276; CE5276,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0312216108856734,negative
136.075712104738,48.1562718433273,C02558,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.236766642577402,negative
137.071781395753,43.609535386002,1mncam; C02918,Vitamin B3 (nicotinate and nicotinamide) metabolism,Metabolism of cofactors and vitamins,Metabolism of cofactors and vitamins,2,0.0707919389615959,negative
139.050257279557,30.5209130542831,C00439; C03680,Histidine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.00142399894861122,negative
140.903500216827,51.5745888304837,C00023; C14818; C14819,Porphyrin metabolism,Metabolism of cofactors and vitamins,Metabolism of cofactors and vitamins,3,0.0948579495360861,negative
142.04995464542,268.914920629656,C04409; C04409,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0493553728589669,negative
143.106650618434,193.367602391992,C08261; C08261; CE5921; CE5921,Linoleate metabolism,Lipid metabolism,Lipid metabolism,4,0.0313899116431317,negative
144.101899297218,52.9945402190885,C05548; CE1943,Butanoate metabolism,Carbohydrate metabolism,Carbohydrate metabolism,2,0.0676980590213353,negative
145.000599495951,117.285363439752,C00086,Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism,"Amino acid metabolism, Nucleotide metabolism","Amino acid metabolism, Nucleotide metabolism",1,0.106547380642231,negative
146.081182044689,264.380294026311,C00624; C00624,Urea cycle/amino group metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0398508016819067,negative
147.076440696629,72.0268576676653,C03740; C05829,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0657611970158562,negative
147.112808028894,78.8010894625736,C00437,Urea cycle/amino group metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0111448698340296,negative
148.079382783812,70.8156503030538,C02712,Methionine and cysteine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0641448551861038,negative
148.976980273684,280.244634824575,C14860,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.0306660392656568,negative
149.0094741,250.7535263,C11821,Purine metabolism,Nucleotide metabolism,Nucleotide metabolism,1,0.0210455829787245,negative
149.045308808585,43.3750493245846,C00191; C00618; C06472,Chondroitin sulfate degradation,"Glycan biosynthesis and metabolism, Metabolism of cofactors and vitamins, NA",Other Combination of pathways,3,0.298718636567047,negative
149.059442104071,42.1001161055092,C00079; C00415; C16612; CE2172,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,4,0.0120194112028334,negative
149.08140682733,71.3044791490606,C00418,Squalene and cholesterol biosynthesis,Lipid metabolism,Lipid metabolism,1,0.0640821632574536,negative
150.054998631974,269.384969761093,C00822; C00822; C01693; C01693; C04185; C04185; C05604; C05604; CE5278; CE5278,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,10,0.0448961272981017,negative
150.076088626264,207.510156194956,C03341,"Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism","Amino acid metabolism, Metabolism of cofactors and vitamins","Amino acid metabolism, Metabolism of cofactors and vitamins",1,0.0182650901612451,negative
150.932263156313,50.5851670768469,C11149,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.133303247076576,negative
151.0262362,284.1413117,C05640,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,1,0.00404663237557338,negative
151.0514252,281.1738657,C00829,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.00684404927871492,negative
151.0624879,18.61391191,CE5626,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0869019811886283,negative
152.05418444706,46.7237469402581,C14853,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.0728542109114143,negative
152.101296613544,185.878269668588,C05140; C05140; C05284; C05284; C05290; C05290; C05302; C05302; CE2182; CE2182; CE2183; CE2183; CE2186; CE2186,C21-steroid hormone biosynthesis and metabolism,"Lipid metabolism, Steroid hormone metabolism","Lipid metabolism, Steroid hormone metabolism",14,0.0100861366331984,negative
152.991265530108,179.22454629784,C01962,Methionine and cysteine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.14570073697094,negative
153.06578770876,34.7035791442289,C03227; C03227; C05651; C05651,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,4,0.0339438435519401,negative
153.077210441932,64.2203649514327,C07480; C13747,Tryptophan metabolism,"Amino acid metabolism, Carbohydrate metabolism, Glycan biosynthesis and metabolism, Lipid metabolism, NA","Amino acid metabolism, Carbohydrate metabolism, Glycan biosynthesis and metabolism, Lipid metabolism, NA",2,0.0180700631607325,negative
154.0576236,22.26581876,C00642; C04043; C05852; CE5025,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,4,0.00964904934341318,negative
154.069017535776,34.5962599680613,C00440; C05842; C05843; CE5251; CE5252; CE5255; CE5256,Methionine and cysteine metabolism,Amino acid metabolism,Amino acid metabolism,7,0.0213595878869364,negative
155.0099701,285.3272483,C00093; C00093,Glycerophospholipid metabolism,Lipid metabolism,Lipid metabolism,2,0.00803518746938359,negative
155.081551398099,208.329287953013,C00931; C00931,Porphyrin metabolism,Metabolism of cofactors and vitamins,Metabolism of cofactors and vitamins,2,0.00675907560622967,negative
155.091093393741,181.188196465981,C00794; C00794; C01507; C01507; C01697; C01697,Fructose and mannose metabolism; Hexose phosphorylation; Galactose metabolism,Carbohydrate metabolism,Carbohydrate metabolism,6,0.0508603441173582,negative
156.0051174,285.9079915,C03287,Urea cycle/amino group metabolism,Amino acid metabolism,Amino acid metabolism,1,0.190277234877774,negative
156.065544128368,168.058287922507,C00108; C00108,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0434042109953201,negative
156.076741862098,78.6779660521909,C00881; C05504,Pyrimidine metabolism,Nucleotide metabolism,Nucleotide metabolism,2,8.1268228691451e-4,negative
157.060789797261,71.072802370591,C00526,Pyrimidine metabolism,Nucleotide metabolism,Nucleotide metabolism,1,0.00750334570196339,negative
157.074056764013,56.8057202226811,CE5995,Leukotriene metabolism,Lipid metabolism,Lipid metabolism,1,5.46664432083153e-4,negative
157.079862586168,78.9833876774522,C00135,Histidine metabolism,Amino acid metabolism,Amino acid metabolism,1,1.91963931989396e-4,negative
157.122230532291,19.5732944938202,C04717; C14827,Linoleate metabolism,Lipid metabolism,Lipid metabolism,2,0.0330009976374726,negative
158.076789401611,68.9497767318366,CE2026,"Glycine, serine, alanine and threonine metabolism",Amino acid metabolism,Amino acid metabolism,1,3.50643448230923e-5,negative
158.096430472479,142.289200516002,C06213; C06213,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,2,0.244806961378375,negative
159.076398505048,78.7696125392041,C00327,Arginine and Proline Metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0154526136694075,negative
159.091715373817,37.1758176709448,C00078; C00525; C00780,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,3,0.0635509909268705,negative
160.074887930426,48.6080785668489,C00637; C14789; CE1918; CE5629,Tryptophan metabolism,"Amino acid metabolism, Xenobiotics biodegradation and metabolism","Amino acid metabolism, Xenobiotics biodegradation and metabolism",4,0.046063588265642,negative
162.055056895244,144.701934955137,C02470,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0682985489227745,negative
162.112471671215,45.1709455199591,C00487,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.335535829479205,negative
163.053504578746,49.7498703035148,CE5546; CN0016,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0561282012796575,negative
164.070076861411,230.200578208153,C00082; C01252; C05635; C05638; C16591; C16596; CE2174,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,7,0.00912999506482653,negative
164.8954142,91.64975545,C13645,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.0206204817499054,negative
165.0306727,282.4442185,pcreat,Urea cycle/amino group metabolism,Amino acid metabolism,Amino acid metabolism,1,0.00454991941590691,negative
166.062335,28.58923518,C14790; C14790; C14790,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,3,0.0346654165054596,negative
166.12266648062,178.742306961979,C06199,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.050842870943225,negative
167.0464487,282.3318445,C11713; C11714; C14786; C14787,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,4,0.0667672999524457,negative
167.070213260767,32.0207287257868,C00788; C05589,Urea cycle/amino group metabolism; Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0835771045327755,negative
167.981936043044,272.640260202847,C00074,Sialic acid metabolism,"Glycan biosynthesis and metabolism, Nucleotide metabolism",Other Combination of pathways,1,0.0634626961637884,negative
169.0260891,21.26711065,C00672; C00672; C00673; C00673; C16637; C16637,Purine metabolism,Nucleotide metabolism,Nucleotide metabolism,6,0.0919412666804208,negative
169.035834820541,53.3002903402657,C00366,Purine metabolism,Nucleotide metabolism,Nucleotide metabolism,1,0.0357564849181948,negative
169.076042536209,175.023437624914,C04540; CE3087,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.134346118075604,negative
169.122226616906,20.1695393796451,CE2061; CE2061,Linoleate metabolism,Lipid metabolism,Lipid metabolism,2,0.0105838406086427,negative
170.012475657884,43.0692378281212,C00506,Methionine and cysteine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0696316622351534,negative
171.005711923319,263.687861392624,C00111; C00118; C00354; C00661; C00665; C01220; C01231; C03693; C03785; C04062; C04063; C05378; C06054,Fructose and mannose metabolism; Galactose metabolism,"Carbohydrate metabolism, Lipid metabolism",Other Combination of pathways,13,0.0211739423686233,negative
171.076440959009,66.4833154661797,C00214,Pyrimidine metabolism,Nucleotide metabolism,Nucleotide metabolism,1,0.0435625622175637,negative
172.0404033,46.28807973,C00073; C00073,Urea cycle/amino group metabolism,Amino acid metabolism,Amino acid metabolism,2,0.00702923513142077,negative
172.096838237607,202.899362932119,C02727; C03758,Butanoate metabolism,Carbohydrate metabolism,Carbohydrate metabolism,2,0.00928398040587684,negative
172.977587091062,275.093921014922,4nphsf,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.0576887256724328,negative
173.9948631,20.89474721,CE1562,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0997339632477509,negative
174.055001816978,201.68548155569,C14040,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.054422059563624,negative
174.0882923,18.76742143,C02442; C03711,Tyrosine metabolism; Urea cycle/amino group metabolism,Amino acid metabolism,Amino acid metabolism,2,0.039755422500681,negative
175.0250607,16.28375599,C01041,Purine metabolism,Nucleotide metabolism,Nucleotide metabolism,1,0.0275639541295187,negative
175.085868550052,197.815135470731,C00643; C02693,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,2,0.00413740808088963,negative
176.0274548,25.62378385,C00417; C00425,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.00382513513922104,negative
176.065844627754,41.8344886458148,C02538,C21-steroid hormone biosynthesis and metabolism,"Lipid metabolism, Steroid hormone metabolism","Lipid metabolism, Steroid hormone metabolism",1,0.158479364012094,negative
176.070447756365,26.3650146468178,C00331; C00331; C00954; C00954; C05634; C05634; C14788; C14788; CE2176; CE2176,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,10,0.0260572664695673,negative
177.054652679573,206.32029373115,C02617; C02617; C14783; C14783; C16587; C16587; C16595; C16595,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,8,0.0193106057041275,negative
177.124095927875,73.7263656826168,C01239,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0539371400977885,negative
178.023638786792,61.5331468039805,C06196,Purine metabolism,Nucleotide metabolism,Nucleotide metabolism,1,0.150831390711943,negative
179.055402730448,81.7470093120841,C00198; C00322; C01040; C05394,Galactose metabolism,"Carbohydrate metabolism, Glycan biosynthesis and metabolism","Carbohydrate metabolism, Glycan biosynthesis and metabolism",4,0.0295751119561498,negative
180.065127176569,44.5102094414813,C00355; C00355; C01586; C01586; C05637; C05637; C05639; C05639; C05645; C05645; CE5536; CE5536,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,12,0.0354105848760293,negative
180.101906289345,266.963665514517,CE6316,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.120447536953343,negative
181.085720198749,25.4427226347326,C06205,Xenobiotics metabolism,Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,1,0.0651012755198525,negative
183.101414805946,19.448687434019,CE2054; CE5976,Leukotriene metabolism,Lipid metabolism,Lipid metabolism,2,0.00694780505072475,negative
184.094821427937,45.1158957805729,C00318,Saturated fatty acids beta-oxidation; Carnitine shuttle; Fatty Acid Metabolism,Lipid metabolism,Lipid metabolism,1,0.12072005723918,negative
184.0980196,23.15336167,C05490; CE1349,C21-steroid hormone biosynthesis and metabolism,Lipid metabolism,Lipid metabolism,2,0.0169591029750224,negative
185.056561,39.49027021,C02373,C21-steroid hormone biosynthesis and metabolism,Lipid metabolism,Lipid metabolism,1,0.272503538415519,negative
185.068767654589,82.7980112383192,C05841; CE5542,Vitamin B3 (nicotinate and nicotinamide) metabolism,Metabolism of cofactors and vitamins,Metabolism of cofactors and vitamins,2,0.0332096702055508,negative
185.080791864438,187.161175532762,C00588; C00588; C05581; C05581; C05594; C05594,Tyrosine metabolism,"Amino acid metabolism, Lipid metabolism",Other Combination of pathways,6,0.00595482111211323,negative
185.11632713994,267.75645764442,C05956; C05962,Prostaglandin formation from arachidonate,Lipid metabolism,Lipid metabolism,2,0.00896500541533227,negative
186.018485448029,260.050946011696,CE2949,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,1,0.011936650533216,negative
