"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"Tyrosine metabolism",190,190,0.0122,0.2984,1.465,EC000695;EC0001597;EC0001598;EC0001710;EC000710;EC000444;EC0001442;EC0001521;EC0001440;EC0001441
"Porphyrin metabolism",26,26,0.0137,0.2984,1.717,EC00027;EC000402;EC000152;EC000192
"Carnitine shuttle",47,47,0.01389,0.2984,1.706,EC000115;EC000116;EC000142;EC000143;EC000144;EC000145;EC00069;EC00070;EC00071;EC00072;EC00073;EC000456;EC000124;EC000125;EC000953;EC00060;EC00061;EC000111;EC00040;EC00041;EC00027;EC00099;EC000100;EC000101;EC000102;EC000103
"Bile acid biosynthesis",35,35,0.01389,0.2984,1.534,EC000164;EC000165;EC00045;EC00099;EC000100;EC000101;EC000102;EC000103;EC000433;EC000434;EC00032;EC00033;EC000206;EC000207;EC000122;EC000123;EC00043;EC00044;EC00040;EC00041;EC000194;EC000621;EC000622;EC000623;EC000202;EC000211;EC000212;EC000213;EC000214;EC00050
"C21-steroid hormone biosynthesis and metabolism",62,62,0.01389,0.2984,1.716,EC00041;EC00040;EC000142;EC0001172;EC0001173;EC00059;EC00060;EC00061;EC0001171;EC00058;EC00027;EC000801;EC000152;EC0001175;EC0001174
"Vitamin D3 (cholecalciferol) metabolism",10,10,0.01613,0.2984,1.602,EC000845;EC000169;EC0001005
"Urea cycle/amino group metabolism",117,117,0.02597,0.4119,1.375,EC000387;EC000388;EC00050
"Prostaglandin formation from arachidonate",50,50,0.04,0.4897,1.491,EC000436;EC000164;EC000165;EC00045;EC000874;EC00056;EC00057;EC000122;EC000123;EC000196;EC00043;EC00044
"Benzoate degradation via CoA ligation",6,6,0.04167,0.4897,-1.598,EC000152;EC0001016;EC0001017;EC0001018;EC000820;EC000821;EC00041;EC00040;EC0001175;EC0001174;EC000294;EC000295;EC000296;EC000297;EC000298;EC00099;EC000100;EC000101;EC000102;EC000103;EC000801;EC000711;EC00082;EC00083;EC000231;EC000232;EC000195;EC0001015;EC000142;EC00060;EC00061;EC000644
"Carbon fixation",15,15,0.04412,0.4897,1.513,EC00041;EC00040;EC000192;EC000152;EC000133;EC000134;EC000135;EC000136;EC000137
"Tryptophan metabolism",144,144,0.05063,0.5109,1.273,EC0001525;EC0001449;EC000831;EC00032;EC00033;EC0001377;EC0001445;EC0001451;EC0001452;EC0001453;EC000700;EC000701
"Methionine and cysteine metabolism",66,66,0.06667,0.5889,-1.413,EC00035;EC00036;EC00037;EC00038;EC00039;EC0001529;EC0001502;EC0001563;EC0001680;EC0001508;EC0001530;EC0001531;EC000971;EC00056;EC00057;EC0001733
"N-Glycan biosynthesis",26,26,0.06897,0.5889,-1.339,EC0001505;EC0001506;EC000934;EC000935;EC0001730;EC0001727;EC0001524;EC0001694;EC0001695;EC0001696;EC000601;EC000602;EC000603;EC000604;EC0001498;EC0001534;EC0001535;EC000972;EC000973;EC0001253;EC0001254;EC0001255;EC0001697;EC0001691;EC0001692;EC0001693;EC00056;EC00057;EC0001690;EC00027;EC0001536;EC0001537;EC000174;EC0001314;EC0001312;EC0001313;EC0001501;EC000978;EC0001198;EC000700;EC000701;EC000704;EC000705;EC000706
"Glutamate metabolism",26,26,0.08219,0.6259,1.387,EC00040;EC00041;EC0001135;EC0001136;EC000112;EC000113;EC000114;EC000268;EC000269;EC000270;EC000271;EC00093;EC00094;EC00099;EC000100;EC000101;EC000102;EC000103;EC000175;EC000176;EC000615;EC000616;EC000617;EC000287;EC000288
"Vitamin A (retinol) metabolism",22,22,0.08696,0.6259,1.364,EC00032;EC00033;EC000219;EC000220;EC000221
"Biopterin metabolism",21,21,0.1029,0.6259,1.35,EC000444;EC000143;EC000144;EC000145;EC0006;EC000187;EC000618;EC000333;EC000334;EC000335;EC000336;EC000873;EC000624;EC000625;EC000626;EC0001356;EC00062;EC0001355;EC000951;EC000952;EC000293;EC0001703
"Glutathione Metabolism",20,20,0.1029,0.6259,1.405,EC000112;EC000113;EC000114;EC0001015;EC00041;EC00040;EC00099;EC000100;EC000101;EC000102;EC000103;EC000152;EC0001016;EC0001017;EC0001018;EC000652;EC000653;EC000124;EC000125;EC000195;EC00069;EC00070;EC00071;EC00072;EC00073;EC000122;EC000123;EC00027;EC00093;EC00094;EC000451
"Vitamin B3 (nicotinate and nicotinamide) metabolism",40,40,0.1067,0.6259,1.279,EC00041;EC00040;EC000152;EC000231;EC000232;EC00027;EC000587;EC000588
"Aminosugars metabolism",55,55,0.1071,0.6259,-1.222,EC0001775;EC0001776;EC0001777;EC0001782;EC0001752;EC0001753;EC0001754;EC0001443;EC0001005;EC0001769;EC0001783;EC000845;EC00024;EC00025;EC00026;EC0001444;EC0001757;EC0001755;EC0001756;EC0001454;EC000840;EC000841;EC0001361;EC00017;EC0001771;EC0001772;EC0001773;EC000169;EC0001360;EC0001766;EC0001784;EC0001765;EC0001763;EC000254;EC00021;EC00022;EC0001748;EC0001745;EC0001746;EC0001787;EC0001788;EC0001778;EC0001779;EC0001780;EC0001749;EC0001758;EC0001759
"Linoleate metabolism",44,44,0.125,0.6938,1.239,EC0001615;EC0001616;EC0001618;EC0001619;EC0001614;EC0001622;EC0001623;EC0001624;EC0001617;EC0001620;EC0001621
"Trihydroxycoprostanoyl-CoA beta-oxidation",1,1,0.1321,0.6959,-1.252,EC00032;EC00033;EC000684;EC0001182;EC0001183;EC0001298;EC0001299;EC000180;EC000181;EC000182
"TCA cycle",28,28,0.1379,0.6959,-1.295,EC0001180;EC0001181;EC00032;EC00033;EC000258;EC000259;EC000306;EC000621;EC000622;EC000623;EC000107
"Pentose phosphate pathway",41,41,0.1467,0.7078,1.193,EC00027;EC00060;EC00061;EC000142;EC00040;EC00041;EC000152
"Proteoglycan biosynthesis",5,5,0.1633,0.7281,-1.378,EC00035;EC00036;EC00037;EC00038;EC00039;EC00034;EC00032;EC00033;EC0001738;EC000893;EC000894;EC000895;EC000896;EC000897;EC000898;EC000899;EC000900;EC000985;EC000986;EC000987;EC000988;EC000989;EC000356;EC000357;EC000358;EC000359;EC000510;EC000511;EC000512;EC000513;EC000514;EC00048;EC00056;EC00057;EC0001130;EC0001131;EC0001132;EC0001133;EC00029;EC00030;EC00031;EC000147;EC000148;EC000149;EC000150;EC000151;EC0001126;EC0001127;EC0001128;EC0001129;EC0001507;EC000990;EC000991;EC000992;EC000993;EC000994;EC000995;EC000315;EC000316;EC000317;EC000312;EC000313;EC000314
"Vitamin B6 (pyridoxine) metabolism",16,16,0.1739,0.7281,1.284,EC00032;EC00033;EC000124;EC000125;EC000942;EC00069;EC00070;EC00071;EC00072;EC00073;EC000876;EC000877;EC000535;EC000536;EC000620;EC000524;EC000525;EC000526
"D4&E4-neuroprostanes formation",8,8,0.1774,0.7281,1.252,EC00099;EC000100;EC000101;EC000102;EC000103;EC000169;EC000286
"Pyrimidine metabolism",101,101,0.1818,0.7281,1.156,EC00027;EC000142;EC00060;EC00061
"Vitamin B2 (riboflavin) metabolism",5,5,0.1837,0.7281,-1.307,EC000883;EC0001025;EC0001461;EC0001019;EC0001020;EC0001021;EC000983;EC000984;EC000974;EC000882;EC0001635;EC000678;EC000679;EC000736;EC000737;EC0001023;EC0001024;EC00046;EC00047;EC00032;EC00033;EC0001022;EC000710;EC000695;EC000491;EC000492;EC000493;EC0001440;EC0001441;EC000209;EC000210;EC0001442;EC000780;EC000795;EC000187
"Butanoate metabolism",38,38,0.2083,0.7603,1.192,EC0001211;EC0001212;EC0001208;EC0001209;EC0001210;EC0001207;EC0001205;EC0001206;EC000537
"Beta-Alanine metabolism",22,22,0.2121,0.7603,-1.167,EC00032;EC00033;EC000107;EC00045;EC0001155;EC000497;EC000582;EC000932;EC000933;EC000196
"Vitamin B5 - CoA biosynthesis from pantothenate",18,18,0.2162,0.7603,-1.208,EC000142;EC00060;EC00061;EC00027
"Valine, leucine and isoleucine degradation",37,37,0.2222,0.7603,1.161,EC000321;EC000322;EC000318;EC000319
"C5-Branched dibasic acid metabolism",3,3,0.24,0.7603,-1.22,EC000132;EC00051;EC00052;EC00053;EC00054;EC00032;EC00033
"Galactose metabolism",31,31,0.2414,0.7603,-1.191,EC000156;EC0001539;EC000233;EC000527;EC000528;EC00062;EC0001540;EC00090;EC00091;EC00092;EC0001343;EC0001344;EC0001345;EC0001346;EC000230;EC00095;EC00096;EC00097;EC00098;EC000360;EC00050
"3-oxo-10R-octadecatrienoate beta-oxidation",11,11,0.2462,0.7603,1.246,EC00032;EC00033;EC0001680;EC0001674;EC0001675;EC0001676;EC0001677;EC0001678;EC0001593;EC0001530;EC0001531;EC0001640;EC0001679;EC000773;EC000774;EC0001735;EC0001736;EC0001737;EC000445;EC000446;EC000447;EC000448;EC0001731;EC0001706;EC0001707;EC0001708;EC0001672;EC0001673;EC0001652;EC0001653;EC0001654;EC0001684;EC0001681;EC0001682;EC0001683;EC0001489;EC0001490;EC0001487;EC0001488;EC0001580;EC0001581;EC0001732
"Arginine and Proline Metabolism",72,72,0.2466,0.7603,1.172,EC00034;EC000998;EC0001009;EC0001010;EC000414;EC000415;EC000783;EC000784;EC000996;EC000997;EC000407;EC0001008;EC00027;EC00029;EC00030;EC00031;EC000562;EC000563;EC000738;EC000739;EC000740;EC0001038;EC0001039;EC0001040;EC0001041;EC0001608;EC000375;EC0001037;EC00019;EC00020;EC0001606;EC0001607;EC0001270;EC0001271;EC00011;EC00012;EC00013;EC0001272;EC00059;EC00056;EC00057;EC00058;EC0001522;EC0001523;EC000955;EC000956;EC000957;EC000959
"Nitrogen metabolism",15,15,0.2794,0.8382,1.226,EC00035;EC00036;EC00037;EC00038;EC00039;EC00034;EC00032;EC00033;EC000156;EC000855;EC000275;EC000276;EC000277;EC00063;EC00064;EC00065;EC00066;EC00067;EC00068;EC00029;EC00030;EC00031;EC000170;EC000171;EC000107;EC0001499;EC0001470;EC0001471;EC0001472;EC0001473;EC000874;EC000183;EC000184;EC000185;EC000186;EC000361;EC000583;EC000584;EC000585;EC000586;EC0001582;EC0001583;EC000247;EC000248;EC00084;EC00085;EC000344;EC000345;EC000346;EC00086;EC00087;EC00088;EC000211;EC000212;EC000213;EC000214;EC0001158;EC0001159;EC0001160;EC0001161;EC0001584;EC0001585;EC0001586;EC00018;EC000435;EC00082;EC00083;EC000432;EC000685;EC000433;EC000434;EC000126;EC000127;EC000188;EC000189;EC000190;EC000191;EC0001447;EC0001448;EC000751;EC00056;EC00057;EC000194;EC000758;EC000759;EC000760;EC00048;EC00046;EC00047;EC00043;EC00044
"Glyoxylate and Dicarboxylate Metabolism",10,10,0.2903,0.848,1.206,EC0001226;EC0001227;EC0001228;EC0001391;EC000743;EC0001388;EC0001389;EC0001392;EC0001384;EC0001385;EC0001383;EC0001386;EC0001387;EC0001381;EC0001382
"Putative anti-Inflammatory metabolites formation from EPA",16,16,0.3333,0.9098,-1.145,EC000433;EC000434;EC0001510;EC0001511;EC000497;EC00051;EC00052;EC00053;EC00054
"Squalene and cholesterol biosynthesis",22,22,0.3333,0.9098,-1.041,EC0001409;EC0001237;EC0001241;EC0001242;EC0001243;EC0001399;EC0001400;EC0001246;EC0001247;EC0001418;EC0001419;EC0001090;EC0001091;EC0001414;EC0001415;EC0001416;EC0001417;EC0001231;EC0001232;EC000689;EC000690;EC000691;EC0001408;EC0001250;EC0001251;EC0001220;EC0001221;EC0001244;EC0001245;EC0001404;EC0001405;EC0001401;EC0001402;EC0001403;EC0001233;EC0001234;EC0001235;EC0001398;EC0001422;EC0001423;EC0001410;EC0001411;EC0001412;EC0001413;EC0001420;EC0001421;EC000999
"Mono-unsaturated fatty acid beta-oxidation",12,12,0.3485,0.9098,1.125,EC00035;EC00036;EC00037;EC00038;EC00039;EC000943;EC000944;EC000156;EC00082;EC00083;EC000921;EC000922;EC000605;EC000606;EC000607;EC000328;EC000329;EC00062;EC00046;EC00047;EC00015;EC000360;EC000551;EC000552;EC00014
"Di-unsaturated fatty acid beta-oxidation",12,12,0.3636,0.9098,1.092,EC00035;EC00036;EC00037;EC00038;EC00039;EC00034;EC00032;EC00033;EC0001105;EC0001106;EC000264;EC000265;EC000266;EC000267;EC0001107;EC0001467;EC0001103;EC0001104;EC000507;EC000508;EC000509;EC0001108;EC0001109;EC00029;EC00030;EC00031;EC0001343;EC0001344;EC0001345;EC0001346;EC000853;EC000854;EC0001112;EC0001113;EC000802;EC000803;EC0001114;EC0001115;EC0001116;EC0001117;EC000320;EC000481;EC000482;EC000483;EC000752;EC000753;EC000754;EC000755;EC00089;EC000577;EC000578;EC000579;EC000580;EC000581;EC000927;EC0001685;EC0001686;EC000662;EC000663;EC000664;EC000665;EC000666;EC000667;EC000668;EC000669;EC0001093;EC0001094;EC0001095;EC0001096;EC000765;EC000118;EC000119;EC000120;EC000121;EC000233;EC0001485;EC0001486;EC000769;EC000770;EC000771;EC000772;EC0001190;EC0001191;EC0001192;EC0001560;EC0001561;EC0001562;EC0001567;EC0001512;EC0001513;EC0001514;EC000196;EC0001558;EC0001559;EC000715;EC000716;EC000717;EC000718;EC000719;EC000720;EC000721;EC0001717;EC000230;EC000467;EC000468;EC000469;EC000470;EC000471;EC0001515;EC0001516;EC0001509;EC000258;EC000259;EC000946;EC00056;EC00057;EC00062;EC000272;EC000273;EC000274;EC00041;EC00040;EC000918;EC000919;EC000920;EC0001092;EC0001090;EC0001091;EC000564;EC000565;EC000566;EC000567;EC0001101;EC0001097;EC0001098;EC0001099;EC000472;EC000473;EC000474;EC000475;EC000476;EC000702;EC000703;EC00048
"Omega-6 fatty acid metabolism",20,20,0.3676,0.9098,1.072,EC000122;EC000123;EC000194;EC00043;EC00044;EC000133;EC000134;EC000135;EC000136;EC000137
"Glycolysis and Gluconeogenesis",30,30,0.375,0.9098,-1.01,EC00035;EC00036;EC00037;EC00038;EC00039;EC000160;EC000161;EC000162;EC000163;EC000696;EC000697;EC000698;EC000699;EC00034;EC000518;EC000435;EC000156;EC00063;EC00064;EC00065;EC00066;EC00067;EC00068;EC000260;EC000261;EC000262;EC000263;EC000926;EC000879;EC000880;EC000881;EC000832;EC000833;EC000834;EC000835;EC000836;EC000837;EC000947;EC000948;EC000949;EC000950;EC000499;EC000500;EC000968;EC000969;EC000970;EC000347;EC000348;EC000349;EC000350;EC000351;EC000382;EC000383;EC000457;EC000458;EC000459;EC000460;EC000725;EC000726;EC0001011;EC000253;EC00084;EC00085;EC000426;EC000247;EC000248;EC000179;EC000867;EC000868;EC00048;EC00046;EC00047;EC00043;EC00044;EC00029;EC00030;EC00031;EC000138;EC000275;EC000276;EC000277;EC0001556;EC0001557;EC000766;EC000767;EC000427;EC000428;EC000177;EC000104;EC000105;EC000208;EC000344;EC000345;EC000346;EC000686;EC000687;EC000688;EC000859;EC000657;EC000658;EC000659;EC000660;EC000661;EC000515;EC000516;EC000517;EC000250;EC000251;EC000252;EC00055;EC00086;EC00087;EC00088;EC000323;EC000324;EC000325;EC000326
"Omega-3 fatty acid metabolism",21,21,0.3824,0.9098,1.018,EC00032;EC00033;EC000845;EC000169;EC0001361;EC0001360;EC000884;EC000692;EC000496;EC0001198;EC000707;EC0001196;EC0001197;EC000215;EC000216;EC0001199;EC0001200;EC000742;EC0001454;EC000798;EC000799;EC000800;EC000856;EC0001007;EC00059;EC000201;EC000700;EC000701
"Polyunsaturated fatty acid biosynthesis",7,7,0.3966,0.9098,1.091,EC0001341;EC000744;EC0002;EC0001563;EC0001564;EC0001565;EC000304;EC000305;EC0001592;EC000506;EC000742;EC0001439;EC000377;EC00032;EC00033;EC00027;EC0001269;EC000286;EC000976;EC000875;EC0001566;EC000330
"Glycine, serine, alanine and threonine metabolism",91,91,0.4177,0.9098,1.045,EC00035;EC00036;EC00037;EC00038;EC00039;EC00032;EC00033;EC000153;EC000154;EC000155;EC000945;EC000139;EC000140;EC000141;EC000981;EC000982;EC000183;EC000184;EC000185;EC000186;EC00049;EC000582;EC000203;EC000204;EC000205;EC000293;EC000107;EC0001500;EC0001594;EC0001595;EC000211;EC000212;EC000213;EC000214;EC000275;EC000276;EC000277
"Pyruvate Metabolism",12,12,0.4242,0.9098,0.9964,EC000789;EC000790;EC000791;EC000792;EC0001005;EC0001007;EC000707;EC000254;EC000798;EC000799;EC000800;EC0001764;EC000169;EC0001750;EC000831;EC0001001;EC0001003;EC0001004;EC0001196;EC0001197;EC0001785;EC0001786;EC000215;EC000216;EC00062;EC000700;EC000701;EC0001770;EC000692;EC000187;EC0001751
"Glycerophospholipid metabolism",83,83,0.4324,0.9098,1.025,EC000845;EC0001750;EC00024;EC0001775;EC0001454;EC0001361;EC000169;EC0001360;EC0001443;EC000321;EC000322
"Pentose and Glucuronate Interconversions",14,14,0.4348,0.9098,1.032,EC00099;EC000100;EC000101;EC000102;EC000103;EC000587;EC000588;EC00041;EC00040;EC000122;EC000123;EC000652;EC000653;EC0001483;EC0001484;EC0001545;EC0001546;EC000111;EC00050;EC000838;EC000839;EC0001544;EC000528
"Alkaloid biosynthesis II",10,10,0.4355,0.9098,1.054,EC0001236;EC0001143;EC0001144;EC00059;EC000523;EC00056;EC00057;EC00027;EC00058;EC0007;EC0008;EC0001326;EC0001327;EC0001214;EC000537;EC0001329;EC0001196;EC0001197;EC000215;EC000216;EC0001330;EC0001273;EC0001274;EC0001283;EC0001284;EC0001285;EC000843;EC000844;EC0001317;EC0001318;EC0001319;EC000472;EC000473;EC000476;EC0001321;EC0001322;EC0001323;EC0001332;EC0001333;EC0001334;EC0001215;EC0001331;EC000798;EC000799;EC000800;EC0001335;EC0001336;EC0001188;EC0001189;EC0001340;EC0001338;EC0001339;EC0001337;EC0001747;EC000718;EC000719;EC000720;EC000721;EC000662;EC000663;EC000669;EC0001306;EC0001307;EC0001308
"Caffeine metabolism",15,15,0.4412,0.9098,-1.048,EC000840;EC000841;EC0001006;EC0001005;EC0001007;EC000254;EC000169;EC0001001;EC0001002;EC0001003;EC0001004;EC000831;EC000215;EC000216
"Alanine and Aspartate Metabolism",40,40,0.4533,0.9098,1.012,EC00032;EC00033;EC000524;EC000525;EC000526;EC000535;EC000536;EC000620
"CoA Catabolism",8,8,0.4677,0.9098,1.017,EC0001576;EC00032;EC00033;EC0001443;EC0001575;EC0001373;EC0001374;EC0001529;EC000978;EC0001393;EC00024;EC0001573;EC0001574;EC0001572;EC0001198;EC0001379;EC0001377;EC0001375;EC0001376;EC0001394;EC0001395
"Histidine metabolism",63,63,0.4828,0.9098,-0.9524,EC00035;EC00036;EC00037;EC00038;EC00039;EC00032;EC00033;EC0001055;EC0001056;EC0001057;EC0001058;EC0001176;EC0001177;EC0001178;EC0001179;EC000183;EC000184;EC000185;EC000186;EC000847;EC000848;EC000849;EC000850;EC000293;EC000582;EC0001156;EC0001157;EC00043;EC00044;EC000275;EC000276;EC000277;EC000107;EC000812;EC000813;EC000814;EC000815;EC00049
"Vitamin K metabolism",1,1,0.4906,0.9098,-0.973,EC0001375;EC0001376;EC0001453;EC0001451;EC0001452;EC000831;EC0001450;EC0001379;EC0001454;EC00032;EC00033;EC0001377
"Keratan sulfate degradation",8,8,0.5,0.9098,0.9998,EC00027;EC000142;EC00060;EC00061
"Vitamin H (biotin) metabolism",7,7,0.5,0.9098,1.001,EC00035;EC00036;EC00037;EC00038;EC00039;EC00034;EC00032;EC00033;EC00063;EC00064;EC00065;EC00066;EC00067;EC00068;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC0004;EC000643;EC000370;EC0001137;EC0001138;EC0001139;EC0001140;EC0001141;EC00029;EC00030;EC00031;EC000167;EC000168;EC000131;EC000534;EC000128;EC000129;EC00055
"Limonene and pinene degradation",8,8,0.5,0.9098,0.9893,EC000222;EC000195;EC000601;EC000602;EC000603;EC000604;EC000773;EC000774;EC000497;EC00056;EC00057;EC000445;EC000446;EC000447;EC000448;EC000192;EC000746;EC000747;EC000748;EC0001734;EC000519;EC000331;EC000332;EC000708
"N-Glycan Degradation",8,8,0.5,0.9098,0.9885,EC0001728;EC0001729;EC000601;EC000602;EC000603;EC000604;EC000331;EC000332
"Prostaglandin formation from dihomo gama-linoleic acid",9,9,0.5,0.9098,-0.9504,EC0001541;EC0001542;EC0001543;EC0001571;EC0001570
